Příjmení	Jméno	Test 1	Test 2	Test 3	Test 4	Test 5	Test 6
Krčmarský	Stanislav	2	5	4	1	5	1
Švára	Vladimír	4	1	5	2	2	4
Barvíková	Erika	1	5	1	3	2	5
Swárovský	David	2	3	1	5	1	5
Viktorin	Miloslav	4	5	5	3	2	2
Tichá	Jana	1	3	5	1	1	5
Le Thi Kim	Iveta	5	2	4	3	2	1
Grymová	Milena	2	3	1	3	2	2
Tylšová	Zdeňka	5	1	1	1	2	4
Németh	Pavel	1	4	1	3	5	5
Fialová	Jaroslava	4	1	5	5	1	2
Kargeradová	Agáta	3	2	1	1	2	1
Bartyzalová	Jarmila	5	3	2	2	1	1
Michalica	Jiří	5	3	4	1	5	2
Lauerová	Tereza	1	5	1	3	1	4
Veselá	Barbora	3	1	3	2	3	3
Bartoš	Milan	1	2	1	2	1	1
Sál	Vratislav	4	1	3	2	1	4
Flieger	Přemysl	1	3	2	1	1	4
Matlachová	Martina	1	1	3	4	4	3
Abraham	Jan	2	2	1	5	1	1
Koubská	Monika	2	2	4	3	4	3
Špaček	Roman	1	1	4	1	4	1
Horníková	Ludmila	2	2	5	1	4	1
