Příjmení	Jméno	Test 1	Test 2	Test 3	Test 4	Test 5	Test 6
Krčmarský	Stanislav	B	F	D	A	F	A
Švára	Vladimír	D	A	F	B	B	D
Barvíková	Erika	A	F	A	C	B	F
Swárovský	David	B	C	A	F	A	F
Viktorin	Miloslav	D	F	F	C	B	B
Tichá	Jana	A	C	F	A	A	F
Le Thi Kim	Iveta	F	B	D	C	B	A
Grymová	Milena	B	C	A	C	B	B
Tylšová	Zdeňka	F	A	A	A	B	D
Németh	Pavel	A	D	A	C	F	F
Fialová	Jaroslava	D	A	F	F	A	B
Kargeradová	Agáta	C	B	A	A	B	A
Bartyzalová	Jarmila	F	C	B	B	A	A
Michalica	Jiří	F	C	D	A	F	B
Lauerová	Tereza	A	F	A	C	A	D
Veselá	Barbora	C	A	C	B	C	C
Bartoš	Milan	A	B	A	B	A	A
Sál	Vratislav	D	A	C	B	A	D
Flieger	Přemysl	A	C	B	A	A	D
Matlachová	Martina	A	A	C	D	D	C
Abraham	Jan	B	B	A	F	A	A
Koubská	Monika	B	B	D	C	D	C
Špaček	Roman	A	A	D	A	D	A
Horníková	Ludmila	B	B	F	A	D	A
